method;K;iterations;repetition;T;score
LDA;50;200;1;10;-71.94315390391667
LDA;50;200;1;15;-173.43529528323555
LDA;50;200;1;20;-316.49089253345187
LDA;50;200;2;5;-15.360197024020081
LDA;50;200;2;10;-70.9494151401393
LDA;50;200;2;15;-168.10328129843114
LDA;50;200;2;20;-308.7846497850639
LDA;50;200;3;5;-15.356561014253364
LDA;50;200;3;10;-71.97065887772713
LDA;50;200;3;15;-169.91232752646272
LDA;50;200;3;20;-315.7673714151672
LDA;50;200;4;5;-16.490673263087096
LDA;50;200;4;10;-75.98018741649985
LDA;50;200;4;15;-180.83863334399163
LDA;50;200;4;20;-328.7097292933478
LDA;50;200;5;5;-15.255192649216067
LDA;50;200;5;10;-72.27615766668056
LDA;50;200;5;15;-171.7075919687413
LDA;50;200;5;20;-318.66438315843624
LDA;50;200;6;5;-15.233894858610944
LDA;50;200;6;10;-71.16697804800815
LDA;50;200;6;15;-168.4914326839987
LDA;50;200;6;20;-312.795853212024
LDA;50;200;7;5;-15.000454909205216
LDA;50;200;7;10;-72.43168001122419
LDA;50;200;7;15;-175.2113389428203
LDA;50;200;7;20;-317.19045290810305
LDA;50;200;8;5;-14.918495581902617
LDA;50;200;8;10;-72.47989240311945
LDA;50;200;8;15;-172.63296327815848
LDA;50;200;8;20;-317.1996390572795
LDA;50;200;9;5;-14.511025841162938
LDA;50;200;9;10;-70.72567517874779
LDA;50;200;9;15;-167.13266931988986
LDA;50;200;9;20;-306.1258803151671
LDA_S;50;200;0;5;-12.500139413646245
LDA_S;50;200;0;10;-56.65564419500393
LDA_S;50;200;0;15;-132.87479564157798
LDA_S;50;200;0;20;-254.35554175179604
LDA_S;50;200;1;5;-11.725741052512394
LDA_S;50;200;1;10;-54.85809133256338
LDA_S;50;200;1;15;-127.82446019246743
LDA_S;50;200;1;20;-236.4103003844037
LDA_S;50;200;2;5;-12.776237965402688
LDA_S;50;200;2;10;-57.221284991794775
LDA_S;50;200;2;15;-129.09238384797948
LDA_S;50;200;2;20;-240.96866503226812
LDA_S;50;200;3;5;-12.800309229570253
LDA_S;50;200;3;10;-56.82837878734716
LDA_S;50;200;3;15;-133.4436659115644
LDA_S;50;200;3;20;-243.32398904495759
LDA_S;50;200;4;5;-12.76402662373539
LDA_S;50;200;4;10;-56.17494695441009
LDA_S;50;200;4;15;-132.33408790344154
LDA_S;50;200;4;20;-244.61079590218426
LDA_S;50;200;5;5;-12.628150557250047
LDA_S;50;200;5;10;-54.41388005927277
LDA_S;50;200;5;15;-129.483596993205
LDA_S;50;200;5;20;-249.6150039317511
LDA_S;50;200;6;5;-12.564811037618702
LDA_S;50;200;6;10;-58.802415434998146
LDA_S;50;200;6;15;-132.34080292016776
LDA_S;50;200;6;20;-246.4296080969009
LDA_S;50;200;7;5;-12.699297600783217
LDA_S;50;200;7;10;-55.1421019767329
LDA_S;50;200;7;15;-127.28041458411198
LDA_S;50;200;7;20;-237.95083116158727
LDA_S;50;200;8;5;-12.720870907170788
LDA_S;50;200;8;10;-56.958537459469426
LDA_S;50;200;8;15;-133.06815772509427
LDA_S;50;200;8;20;-246.7104291289183
LDA_S;50;200;9;5;-13.071237205093889
LDA_S;50;200;9;10;-59.13178770427791
LDA_S;50;200;9;15;-136.58999458081072
LDA_S;50;200;9;20;-252.56088898794923
LDA_S;60;200;0;5;-12.242533974239912
LDA_S;60;200;0;10;-59.418023331420116
LDA_S;60;200;0;15;-142.16388957419258
LDA_S;60;200;0;20;-260.4498964540023
LDA_S;60;200;1;5;-12.473418244715154
LDA_S;60;200;1;10;-56.38686080931468
LDA_S;60;200;1;15;-139.8763486436263
LDA_S;60;200;1;20;-271.2607068953796
LDA_S;60;200;2;5;-12.389058415511641
LDA_S;60;200;2;10;-57.53601751607515
LDA_S;60;200;2;15;-136.55235040824462
LDA_S;60;200;2;20;-261.10909699795906
LDA_S;60;200;3;5;-11.944526205805358
LDA_S;60;200;3;10;-52.208751910394426
LDA_S;60;200;3;15;-130.19152543373983
LDA_S;60;200;3;20;-256.01458074273063
LDA_S;60;200;4;5;-12.092158325143622
LDA_S;60;200;4;10;-53.16476575327145
LDA_S;60;200;4;15;-135.15081386365998
LDA_S;60;200;4;20;-265.19129900626655
LDA_S;60;200;5;5;-12.569709637020265
LDA_S;60;200;5;10;-58.238245362405515
LDA_S;60;200;5;15;-144.9691239757494
LDA_S;60;200;5;20;-277.18644891101854
LDA_S;60;200;6;5;-13.056293723238026
LDA_S;60;200;6;10;-58.58005022312397
LDA_S;60;200;6;15;-139.3192055372063
LDA_S;60;200;6;20;-261.2211827580116
LDA_S;60;200;7;5;-12.688558389189234
LDA_S;60;200;7;10;-57.42551236609298
LDA_S;60;200;7;15;-139.1138805047128
LDA_S;60;200;7;20;-267.4568392784619
LDA_S;60;200;8;5;-12.218431375410928
LDA_S;60;200;8;10;-57.261809020309286
LDA_S;60;200;8;15;-136.53530586533577
LDA_S;60;200;8;20;-264.0406677598653
LDA_S;60;200;9;5;-12.62050072042312
LDA_S;60;200;9;10;-57.74484695722944
LDA_S;60;200;9;15;-140.5454425122497
LDA_S;60;200;9;20;-270.12291472948215
LDA_S;70;200;0;5;-14.032172388878115
LDA_S;70;200;0;10;-58.70492627034308
LDA_S;70;200;0;15;-139.55879264377114
LDA_S;70;200;0;20;-256.9404180812273
LDA_S;70;200;1;5;-15.098856758338401
LDA_S;70;200;1;10;-65.37761874093816
LDA_S;70;200;1;15;-138.20080669676005
LDA_S;70;200;1;20;-269.0921692026049
LDA_S;70;200;2;5;-12.058853805657524
LDA_S;70;200;2;10;-58.5595761534117
LDA_S;70;200;2;15;-141.84763936830993
LDA_S;70;200;2;20;-272.81113657736427
LDA_S;70;200;3;5;-13.841431438220994
LDA_S;70;200;3;10;-60.65508117467347
LDA_S;70;200;3;15;-144.5498888178614
LDA_S;70;200;3;20;-276.5844599605696
LDA_S;70;200;4;5;-13.872366183859231
LDA_S;70;200;4;10;-63.40882123093957
LDA_S;70;200;4;15;-153.8544485200996
LDA_S;70;200;4;20;-292.00770850195727
LDA_S;70;200;5;5;-12.219709119594482
LDA_S;70;200;5;10;-58.8037245497123
LDA_S;70;200;5;15;-145.65846920712698
LDA_S;70;200;5;20;-278.00903490248743
LDA_S;70;200;6;5;-13.912021609355534
LDA_S;70;200;6;10;-62.60720596705599
LDA_S;70;200;6;15;-149.1410569857285
LDA_S;70;200;6;20;-264.19217944057834
LDA_S;70;200;7;5;-11.76108210619998
LDA_S;70;200;7;10;-53.031053613380735
LDA_S;70;200;7;15;-137.71885703317164
LDA_S;70;200;7;20;-258.6042834349693
LDA_S;70;200;8;5;-12.82194409612217
LDA_S;70;200;8;10;-59.225814211710116
LDA_S;70;200;8;15;-141.7782400666364
LDA_S;70;200;8;20;-260.69685127079583
LDA_S;70;200;9;5;-13.584062451467384
LDA_S;70;200;9;10;-56.09537901976022
LDA_S;70;200;9;15;-136.93516115149816
LDA_S;70;200;9;20;-260.29246497159846
LDA;60;200;0;5;-14.534248946547304
LDA;60;200;0;10;-69.95762320206137
LDA;60;200;0;15;-161.26365994477567
LDA;60;200;0;20;-299.7770479470094
LDA;60;200;1;5;-15.357199430397221
LDA;60;200;1;10;-70.62626340918308
LDA;60;200;1;15;-168.81157443957926
LDA;60;200;1;20;-305.77367395695796
LDA;60;200;2;5;-15.519484739278989
LDA;60;200;2;10;-74.44311116727106
LDA;60;200;2;15;-177.8015530589437
LDA;60;200;2;20;-323.3078795377213
LDA;60;200;3;5;-16.147682857867554
LDA;60;200;3;10;-73.76053493180825
LDA;60;200;3;15;-173.40146393958113
LDA;60;200;3;20;-317.8323981590148
LDA;60;200;4;5;-15.638232980929056
LDA;60;200;4;10;-72.60673877122977
LDA;60;200;4;15;-173.35562634958262
LDA;60;200;4;20;-314.2946678856998
LDA;60;200;5;5;-16.120340864441207
LDA;60;200;5;10;-74.57114801553355
LDA;60;200;5;15;-175.37214501480824
LDA;60;200;5;20;-321.11910415704097
LDA;60;200;6;5;-15.642652011615576
LDA;60;200;6;10;-70.35861116920279
LDA;60;200;6;15;-168.06242698099888
LDA;60;200;6;20;-306.3810855607124
LDA;60;200;7;5;-15.827203114999248
LDA;60;200;7;10;-72.55991866296885
LDA;60;200;7;15;-169.3890526677873
LDA;60;200;7;20;-317.725412643001
LDA;60;200;8;5;-14.966074817524829
LDA;60;200;8;10;-69.18971439173887
LDA;60;200;8;15;-171.89099312725668
LDA;60;200;8;20;-321.3162381369002
LDA;60;200;9;5;-16.565861029130634
LDA;60;200;9;10;-73.77066413231364
LDA;60;200;9;15;-175.85763169475794
LDA;60;200;9;20;-323.3035995173146
