method;K;iterations;repetition;T;score
LDA_S;20;200;6;5;-16.423037762822652
LDA_S;20;200;6;10;-72.87819198447713
LDA_S;20;200;6;15;-168.15661399926103
LDA_S;20;200;6;20;-295.02816602715484
LDA_S;20;200;7;5;-14.62285443975864
LDA_S;20;200;7;10;-71.91906869153318
LDA_S;20;200;7;15;-171.62130972033987
LDA_S;20;200;7;20;-301.48443360474636
LDA_S;20;200;8;5;-14.458485254917084
LDA_S;20;200;8;10;-68.14866032634502
LDA_S;20;200;8;15;-159.20030713083423
LDA_S;20;200;8;20;-286.05328270367204
LDA_S;20;200;9;5;-14.185742911327583
LDA_S;20;200;9;10;-68.28362573965076
LDA_S;20;200;9;15;-160.1205090567409
LDA_S;20;200;9;20;-290.60705735007605
LDA;30;200;0;5;-14.965092328868336
LDA;30;200;0;10;-69.47463188311248
LDA;30;200;0;15;-161.5737241636096
LDA;30;200;0;20;-300.8102582351513
LDA;30;200;1;5;-14.928736624416308
LDA;30;200;1;10;-71.18909022562262
LDA;30;200;1;15;-167.10485322644016
LDA;30;200;1;20;-299.25950532459706
LDA;30;200;2;5;-15.186718887184933
LDA;30;200;2;10;-72.43318776577416
LDA;30;200;2;15;-173.2864469210612
LDA;30;200;2;20;-309.70781536405786
LDA;30;200;3;5;-14.687164382707055
LDA;30;200;3;10;-67.59525052741213
LDA;30;200;3;15;-161.48889007294352
LDA;30;200;3;20;-298.055540356987
LDA;30;200;4;5;-14.425091165978333
LDA;30;200;4;10;-68.21880789559992
LDA;30;200;4;15;-161.04464258801647
LDA;30;200;4;20;-299.49974515296435
LDA;30;200;5;5;-14.504162201148093
LDA;30;200;5;10;-69.81757800823114
LDA;30;200;5;15;-163.74924701027763
LDA;30;200;5;20;-294.5241211974206
LDA;30;200;6;5;-14.35514234830096
LDA;30;200;6;10;-66.08245300453005
LDA;30;200;6;15;-157.18590321031655
LDA;30;200;6;20;-286.52511293831463
LDA;30;200;7;5;-15.188767646381443
LDA;30;200;7;10;-71.01961662701082
LDA;30;200;7;15;-165.52986614709715
LDA;30;200;7;20;-303.7210440182613
LDA;30;200;8;5;-13.460881961867567
LDA;30;200;8;10;-67.66268492807498
LDA;30;200;8;15;-160.251283411655
LDA;30;200;8;20;-294.1100904009699
LDA;30;200;9;5;-13.539704349137287
LDA;30;200;9;10;-67.86634377936065
LDA;30;200;9;15;-156.92236040500376
LDA;30;200;9;20;-295.89669487361874
LDA_S;30;200;0;5;-14.273978392736204
LDA_S;30;200;0;10;-65.5003027727364
LDA_S;30;200;0;15;-153.25005694318457
LDA_S;30;200;0;20;-278.2755044758407
LDA_S;30;200;1;5;-12.389636736013154
LDA_S;30;200;1;10;-62.523425260630326
LDA_S;30;200;1;15;-145.21239372759075
LDA_S;30;200;1;20;-258.3454261673376
LDA_S;30;200;2;5;-15.167911915469977
LDA_S;30;200;2;10;-69.80496671593518
LDA_S;30;200;2;15;-158.87171616518336
LDA_S;30;200;2;20;-283.42026082353647
LDA_S;30;200;3;5;-13.437720015761117
LDA_S;30;200;3;10;-66.23441510702192
LDA_S;30;200;3;15;-153.41506659367465
LDA_S;30;200;3;20;-272.8271377692813
LDA_S;30;200;4;5;-13.677853384687456
LDA_S;30;200;4;10;-65.1514489718039
LDA_S;30;200;4;15;-144.11433196021815
LDA_S;30;200;4;20;-255.52278026408075
LDA_S;30;200;5;5;-13.772190154097157
LDA_S;30;200;5;10;-65.4628763630396
LDA_S;30;200;5;15;-146.44739448374378
LDA_S;30;200;5;20;-270.6244593083737
LDA_S;30;200;6;5;-15.334854148528324
LDA_S;30;200;6;10;-67.93895371999629
LDA_S;30;200;6;15;-152.44309903006703
LDA_S;30;200;6;20;-266.84160382242766
LDA_S;30;200;7;5;-14.17455087029174
LDA_S;30;200;7;10;-62.64312978598404
LDA_S;30;200;7;15;-148.06562857714044
LDA_S;30;200;7;20;-264.6175830086926
LDA_S;30;200;8;5;-13.472293424312069
LDA_S;30;200;8;10;-64.9082004056161
LDA_S;30;200;8;15;-147.92957870708767
LDA_S;30;200;8;20;-258.4073748373641
LDA_S;30;200;9;5;-13.709487244336408
LDA_S;30;200;9;10;-66.32427216308311
LDA_S;30;200;9;15;-148.64985667278472
LDA_S;30;200;9;20;-270.5543722773781
LDA;40;200;0;5;-13.79186078669854
LDA;40;200;0;10;-67.63893538378991
LDA;40;200;0;15;-158.65380111503356
LDA;40;200;0;20;-299.7462812621526
LDA;40;200;1;5;-14.81519376358851
LDA;40;200;1;10;-69.86216139498369
LDA;40;200;1;15;-165.49686318756656
LDA;40;200;1;20;-300.2117869315424
LDA;40;200;2;5;-14.801745930202836
LDA;40;200;2;10;-71.20178638510023
LDA;40;200;2;15;-170.90831995166695
LDA;40;200;2;20;-311.5284318517574
LDA;40;200;3;5;-14.644945824665655
LDA;40;200;3;10;-66.54392175912264
LDA;40;200;3;15;-163.82927782210794
LDA;40;200;3;20;-305.80564912158854
LDA;40;200;4;5;-14.613918182844404
LDA;40;200;4;10;-69.82302820356401
LDA;40;200;4;15;-165.37669134349193
LDA;40;200;4;20;-303.96780344177694
LDA;40;200;5;5;-14.57288557681378
LDA;40;200;5;10;-68.37809117792469
LDA;40;200;5;15;-160.28649262894902
LDA;40;200;5;20;-294.40508633477964
LDA;40;200;6;5;-14.935474084714087
LDA;40;200;6;10;-69.17691539573192
LDA;40;200;6;15;-166.00085384305595
LDA;40;200;6;20;-304.74886987404744
LDA;40;200;7;5;-14.198120647137662
LDA;40;200;7;10;-69.5967512242071
LDA;40;200;7;15;-164.63640670362622
LDA;40;200;7;20;-301.5700908038268
LDA;40;200;8;5;-15.03954636686574
LDA;40;200;8;10;-70.34202269715676
LDA;40;200;8;15;-167.52319176536432
LDA;40;200;8;20;-310.2868945905702
LDA;40;200;9;5;-14.703232392708983
LDA;40;200;9;10;-69.52972858019704
LDA;40;200;9;15;-162.26755575123917
LDA;40;200;9;20;-304.03431330535807
