method;corpus;K;iteration;intra;inter;ratio
LDA_S;LOVTAGS;20;1;0.8041010725914232;0.9289284232093615;0.8656222078051272
LDA_S;LOVTAGS;20;2;0.8051375976981586;0.9280128635948214;0.867593143676173
LDA_S;LOVTAGS;20;3;0.7900711339787794;0.923904041241016;0.8551441477813343
LDA_S;LOVTAGS;20;4;0.808659990533393;0.9293435305299522;0.8701410877334669
LDA_S;LOVTAGS;20;5;0.804101213248426;0.9328044661989199;0.8620254752049525
LDA_S;LOVTAGS;20;6;0.8199913681858666;0.9422188929414458;0.870276932811222
LDA_S;LOVTAGS;20;7;0.8185970425584845;0.9385436872308144;0.8721991886960169
LDA_S;LOVTAGS;20;8;0.8058117466672287;0.9358381363394681;0.8610588897554038
LDA_S;LOVTAGS;20;9;0.8184272188337613;0.9482926596779946;0.8630534155053665
LDA_S;LOVTAGS;30;0;0.863902367129157;1.0030574427081644;0.86126908624166
LDA_S;LOVTAGS;30;1;0.8681374828449355;1.0025480852010498;0.8659310168358062
LDA_S;LOVTAGS;30;2;0.8694631340638476;1.0081604154464752;0.8624253846336508
LDA_S;LOVTAGS;30;3;0.8648647305349542;1.0031709302618368;0.8621309733419175
LDA_S;LOVTAGS;30;4;0.8740837520580093;1.0140176294262495;0.8620005478135351
LDA_S;LOVTAGS;30;5;0.8696150933334104;1.0079943886322684;0.8627181888516039
LDA_S;LOVTAGS;30;6;0.8693147500964737;1.005552976244863;0.8645141237041958
LDA_S;LOVTAGS;30;7;0.864238823943499;1.0058693181932847;0.8591959296420547
LDA_S;LOVTAGS;30;8;0.8710399765312741;1.0066009392497284;0.8653279989789252
LDA_S;LOVTAGS;30;9;0.8696701460484809;1.0042551096095382;0.8659852837458951
LDA_S;LOVTAGS;40;0;0.9061070200415515;1.049364711094419;0.8634815050112947
LDA_S;LOVTAGS;40;1;0.9100166926769782;1.0503306120183138;0.8664097592359908
LDA_S;LOVTAGS;40;2;0.9103706575370464;1.0544794249172145;0.8633365772959659
LDA_S;LOVTAGS;40;3;0.9010512306683358;1.048081486840929;0.8597148618512823
LDA_S;LOVTAGS;40;4;0.9052070974178468;1.0495684019758291;0.8624565066114606
LDA_S;LOVTAGS;40;5;0.9054210181853062;1.0444541815277006;0.8668843824828834
LDA_S;LOVTAGS;40;6;0.9133683837420676;1.0495090949696266;0.8702815326898153
LDA_S;LOVTAGS;40;7;0.90966469017449;1.0512170742816764;0.8653442875212879
LDA_S;LOVTAGS;40;8;0.8990572285286773;1.048365959323583;0.8575795699325822
LDA_S;LOVTAGS;40;9;0.9045765420611676;1.0431300057194093;0.8671752678011727
LDA_S;LOVTAGS;50;0;0.9209092095186014;1.0669897120017033;0.863090992499777
LDA_S;LOVTAGS;50;1;0.9321590742893764;1.078447263403468;0.8643529506928125
LDA_S;LOVTAGS;50;2;0.926104567539541;1.0644767818723568;0.8700091756915292
LDA_S;LOVTAGS;50;3;0.9275189357013919;1.0706236502334459;0.866335182768613
LDA_S;LOVTAGS;50;4;0.9310751599918549;1.0768426703879574;0.8646343477979133
LDA_S;LOVTAGS;50;5;0.9297186636488126;1.0767765318957112;0.8634276807760688
LDA_S;LOVTAGS;50;6;0.935295305655552;1.0784211649880175;0.8672820378724152
LDA_S;LOVTAGS;50;7;0.9301182971364362;1.0778125499151157;0.8629685163804122
LDA_S;LOVTAGS;50;8;0.9248718419356337;1.0697783771317284;0.8645452756442734
LDA_S;LOVTAGS;50;9;0.9278820676121459;1.0736081217060607;0.8642651344120396
LDA_S;LOVTAGS;60;0;0.9165161278337515;1.0635420447484158;0.8617582467560614
LDA_S;LOVTAGS;60;1;0.9301007982514161;1.073448320005138;0.8664607144263492
LDA_S;LOVTAGS;60;2;0.9393349367439037;1.0837311904130857;0.8667600831769522
LDA_S;LOVTAGS;60;3;0.9408897135827679;1.0880329104234796;0.864762181887089
LDA_S;LOVTAGS;60;4;0.9263973692142552;1.0696335967999708;0.8660885110431868
LDA_S;LOVTAGS;60;5;0.9290738656010741;1.076907313782559;0.8627240744960393
LDA_S;LOVTAGS;60;6;0.9303930108434421;1.0733426408027953;0.8668182698374532
LDA_S;LOVTAGS;60;7;0.9352239189103229;1.081370511518181;0.8648505844655622
LDA_S;LOVTAGS;60;8;0.9243761664335762;1.0774699537193413;0.8579136367030028
LDA_S;LOVTAGS;60;9;0.9389271869588421;1.0844091482017535;0.8658421855955751
LDA;LOVTAGS;10;0;0.5859911998870992;0.6914332424012241;0.8475022083868236
LDA;LOVTAGS;10;1;0.594587526177666;0.6994703370263547;0.8500539546900944
LDA;LOVTAGS;10;2;0.5835163830405884;0.6847550006609698;0.8521535183786034
LDA;LOVTAGS;10;3;0.5768498939738833;0.6821700967162194;0.8456100564224102
LDA;LOVTAGS;10;4;0.5813752166133518;0.6807671267051303;0.8540001328019039
LDA;LOVTAGS;10;5;0.5911667499285788;0.6961118410649684;0.8492410487144766
LDA;LOVTAGS;10;6;0.5832949595693382;0.6786493288952191;0.8594939016868853
LDA;LOVTAGS;10;7;0.5802695890027251;0.6890408604261766;0.8421410431941935
LDA;LOVTAGS;10;8;0.5891155721920915;0.6867623492304125;0.8578157682235432
LDA;LOVTAGS;10;9;0.5760965470596618;0.6779427712775313;0.8497716495657177
LDA;LOVTAGS;20;0;0.735844416156198;0.8638518086560066;0.8518178798526053
LDA;LOVTAGS;20;1;0.747524775728144;0.8820245249235301;0.8475101934302258
LDA;LOVTAGS;20;2;0.7449234648463219;0.8699427350782853;0.8562902301601345
LDA;LOVTAGS;20;3;0.748095117508115;0.874145529965505;0.8558015706350817
LDA;LOVTAGS;20;4;0.7250134933148842;0.8524935933012306;0.8504621020168758
LDA;LOVTAGS;20;5;0.746983648506763;0.8770955703429479;0.8516559355267174
LDA;LOVTAGS;20;6;0.7428674029893335;0.8680031190673868;0.8558349465235753
LDA;LOVTAGS;20;7;0.7406233342972531;0.8710227262785921;0.850291630692043
LDA;LOVTAGS;20;8;0.7442107215217185;0.8752097635119128;0.8503226912545621
LDA;LOVTAGS;20;9;0.7319180350526666;0.8634909851894947;0.8476267240844974
LDA;LOVTAGS;30;0;0.8195731474360077;0.9669302149159972;0.8476032032024243
LDA;LOVTAGS;30;1;0.8093242161470042;0.9583593756962359;0.8444892768529974
LDA;LOVTAGS;30;2;0.8163581106115994;0.963204741037058;0.8475437005559663
LDA;LOVTAGS;30;3;0.8172555204444741;0.9607009757410041;0.8506866767925492
LDA;LOVTAGS;30;4;0.8106073926877083;0.9596017427348762;0.8447331393724523
LDA;LOVTAGS;30;5;0.830011367412241;0.970160296689992;0.8555404403211373
LDA;LOVTAGS;30;6;0.8282405753026785;0.9712538749175128;0.852753946925586
LDA;LOVTAGS;30;7;0.8087753739672405;0.9504589019991022;0.8509314524448575
LDA;LOVTAGS;30;8;0.821830582367898;0.9683094917240035;0.8487271780272332
LDA;LOVTAGS;30;9;0.7998896629674035;0.9529406791829252;0.8393908250965302
LDA;LOVTAGS;40;0;0.8597635518517227;1.0151560578944727;0.8469274700827295
LDA;LOVTAGS;40;1;0.8622387072009021;1.0176040952235863;0.8473223636265462
LDA;LOVTAGS;40;2;0.8746922674508987;1.0264867729020315;0.852122297667814
LDA;LOVTAGS;40;3;0.8718668062059999;1.0226588495483102;0.8525490260912401
LDA;LOVTAGS;40;4;0.871236568576773;1.023660148250195;0.851099429889921
LDA;LOVTAGS;40;5;0.8635090114284512;1.0200741365746708;0.8465159349378731
LDA;LOVTAGS;40;6;0.8671364684510909;1.022861585926258;0.8477554347354346
LDA;LOVTAGS;40;7;0.8628132033381982;1.0173809840875596;0.8480728624115322
LDA;LOVTAGS;40;8;0.8606885050521138;1.0124948948596009;0.8500670071738609
LDA;LOVTAGS;40;9;0.8658675983238389;1.0199014262603034;0.8489718476997683
LDA;LOVTAGS;50;0;0.8979687422913799;1.0602981583415976;0.8469021050606034
LDA;LOVTAGS;50;1;0.8970309840084263;1.057185035868244;0.8485089682259014
LDA;LOVTAGS;50;2;0.8962382221112395;1.05745906273087;0.8475394024206664
LDA;LOVTAGS;50;3;0.8853134989049398;1.0517101978126953;0.841784648229312
LDA;LOVTAGS;50;4;0.8958932544442465;1.0560582533522713;0.8483369658826971
LDA;LOVTAGS;50;5;0.8965311699421114;1.054196176574017;0.8504405440510191
LDA;LOVTAGS;50;6;0.8974104945557781;1.0520869973852836;0.8529812618025717
LDA;LOVTAGS;50;7;0.8916326987390375;1.0555640560599622;0.844697859518994
LDA;LOVTAGS;50;8;0.8973274840348748;1.057935443174415;0.8481873727024175
LDA;LOVTAGS;50;9;0.8896845949381369;1.0543994244185537;0.8437832706791846
LDA;LOVTAGS;60;0;0.9158865356155457;1.0792836611357965;0.8486059491085985
LDA;LOVTAGS;60;1;0.9146460524099675;1.0792507473401474;0.8474824359993689
LDA;LOVTAGS;60;2;0.9139195918070206;1.0789961290583117;0.8470091478498994
LDA;LOVTAGS;60;3;0.91869474454946;1.0839509011806039;0.8475427655891495
LDA;LOVTAGS;60;4;0.9034284899336272;1.0786069581736013;0.8375882271920415
LDA;LOVTAGS;60;5;0.9160039655987892;1.080206769275941;0.8479894698426891
LDA;LOVTAGS;60;6;0.9078038625789308;1.0718117031519154;0.8469807335647849
LDA;LOVTAGS;60;7;0.9159944332123442;1.0825200735411413;0.8461685428298266
LDA;LOVTAGS;60;8;0.9176328577202324;1.080038321392881;0.8496299062211042
LDA;LOVTAGS;60;9;0.9213176627283585;1.0846702371479189;0.8493988598331166
BTM_S;LODTHEMES;10;0;0.45645019841348;0.6691187420993804;0.682166213101958
BTM_S;LODTHEMES;10;1;0.39738933646852775;0.6718789468817312;0.591459723976853
BTM_S;LODTHEMES;10;2;0.4525868059143209;0.6749788961920491;0.670519935464098
BTM_S;LODTHEMES;10;3;0.3887828327748757;0.6447890014701909;0.6029613282615048
BTM_S;LODTHEMES;10;4;0.4302221310922465;0.723834255758323;0.594365530050143
BTM_S;LODTHEMES;10;5;0.45341994262317586;0.7569102989620743;0.5990405246763526
BTM_S;LODTHEMES;10;6;0.44686058549943014;0.661572623706278;0.6754520508965698
BTM_S;LODTHEMES;10;7;0.4867028538928677;0.7044216435111353;0.690925468256391
BTM_S;LODTHEMES;10;8;0.40586723676064357;0.6013362594483621;0.6749422313781099
BTM_S;LODTHEMES;10;9;0.3956979834899576;0.6961005102307949;0.5684494949712972
BTM_S;LODTHEMES;20;0;0.5739273192602662;0.8533697649709806;0.6725423641881465
BTM_S;LODTHEMES;20;1;0.5509609596371389;0.862537690788744;0.638767401727471
BTM_S;LODTHEMES;20;2;0.5448665267541285;0.8227433421436039;0.6622557714469186
BTM_S;LODTHEMES;20;3;0.5388549031739277;0.7782986972930904;0.6923497431616625
BTM_S;LODTHEMES;20;4;0.5606012804985012;0.8196993006791488;0.6839108927310588
BTM_S;LODTHEMES;20;5;0.4885477303129715;0.7977235219525391;0.6124273847625592
BTM_S;LODTHEMES;20;6;0.531278102231817;0.744070072783307;0.7140162219459932
BTM_S;LODTHEMES;20;7;0.46112241851449765;0.8001406831596575;0.5763016782168627
BTM_S;LODTHEMES;20;8;0.5501255032202679;0.8328946597985112;0.660498295610817
BTM_S;LODTHEMES;20;9;0.4593368521546335;0.7883258017606564;0.5826738781462499
BTM_S;LODTHEMES;30;0;0.5953389404575742;0.8643674090543749;0.6887568113065252
BTM_S;LODTHEMES;30;1;0.5937874392846088;0.9255948553783384;0.641519813808707
BTM_S;LODTHEMES;30;2;0.5755667150292404;0.8380417855410891;0.6867995426476505
BTM_S;LODTHEMES;30;3;0.5319434232970192;0.8667471427012278;0.6137238844990145
BTM_S;LODTHEMES;30;4;0.5931507994940224;0.898315975874115;0.6602919411700892
BTM_S;LODTHEMES;30;5;0.5613641199982904;0.8377223021482852;0.6701076461241487
BTM_S;LODTHEMES;30;6;0.6037581815427941;0.9146440262000709;0.660101814747683
BTM_S;LODTHEMES;30;7;0.5652373477768278;0.9207501528014705;0.61388786747093
BTM_S;LODTHEMES;30;8;0.6159329237324496;0.947733641240122;0.6499008760800061
BTM_S;LODTHEMES;30;9;0.5666444128924366;0.912484921918944;0.6209904397113661
BTM_S;LODTHEMES;40;0;0.6201112945349252;0.9666668566827457;0.6414943165248522
BTM_S;LODTHEMES;40;1;0.6022255888577882;0.961582531077108;0.6262859082758196
BTM_S;LODTHEMES;40;2;0.5960726464719338;0.9241120113609995;0.645022074319821
BTM_S;LODTHEMES;40;3;0.6106366430766318;0.9583636782273559;0.6371658869690263
BTM_S;LODTHEMES;40;4;0.6237856685829105;0.9352770216542862;0.6669528429978742
BTM_S;LODTHEMES;40;5;0.6212170817615043;0.9725992262089825;0.6387184618508254
BTM_S;LODTHEMES;40;6;0.6137862229410604;0.9221314160739749;0.6656168657112768
BTM_S;LODTHEMES;40;7;0.6142905280326273;0.9268390159278842;0.6627801780848037
BTM_S;LODTHEMES;40;8;0.6015791444770624;0.9443426462169201;0.6370348166388715
BTM_S;LODTHEMES;40;9;0.6268174858221158;0.9238359885978049;0.6784943361791926
BTM_S;LODTHEMES;50;0;0.6388629120821973;0.9895653049469728;0.6455995464760474
BTM_S;LODTHEMES;50;1;0.6515014602301298;0.9926354548680214;0.6563350694709489
BTM_S;LODTHEMES;50;2;0.6458687611382972;0.9868425631374683;0.654480040954949
BTM_S;LODTHEMES;50;3;0.6518165057710354;0.9933805382503167;0.6561599313382035
BTM_S;LODTHEMES;50;4;0.6015066593094974;0.9479998998736627;0.6345007624891716
BTM_S;LODTHEMES;50;5;0.6282879569704625;0.9755840188315517;0.6440121453844205
BTM_S;LODTHEMES;50;6;0.6277452429432959;0.9808693214055093;0.6399886603077624
BTM_S;LODTHEMES;50;7;0.6482100400203148;0.9708630206978204;0.6676637447313684
BTM_S;LODTHEMES;50;8;0.6287424602437305;0.9931934842925307;0.633051334092868
BTM_S;LODTHEMES;50;9;0.6138756575269024;0.9780536328031764;0.627650301515151
BTM_S;LODTHEMES;60;0;0.6521858233741347;0.9919302323837997;0.6574916280218683
BTM_S;LODTHEMES;60;1;0.6427604702100742;0.9954544522677093;0.645695509971174
BTM_S;LODTHEMES;60;2;0.6518081950071304;0.9893641903141457;0.6588152283944767
BTM_S;LODTHEMES;60;3;0.622747987109665;0.9865646287256138;0.6312287801297866
BTM_S;LODTHEMES;60;4;0.6492358895079289;0.9894273177670785;0.6561734023809981
BTM_S;LODTHEMES;60;5;0.6467760858546145;0.9719506105792296;0.6654413082462814
BTM_S;LODTHEMES;60;6;0.632812086412154;0.9925385492684512;0.6375692781691623
BTM_S;LODTHEMES;60;7;0.6605520074284049;0.9946541230822761;0.6641022161366592
BTM_S;LODTHEMES;60;8;0.654277548759132;0.9949620139206207;0.657590480445549
BTM_S;LODTHEMES;60;9;0.6535299551064513;0.9910094856040235;0.6594588292039634
LDA_S;LODTHEMES;10;0;0.4470134128516664;0.6145824599298203;0.7273448918517968
LDA_S;LODTHEMES;10;1;0.3959237095868343;0.614135349011945;0.6446847754714304
LDA_S;LODTHEMES;10;2;0.5016450167275173;0.6483141271031666;0.7737684492068614
LDA_S;LODTHEMES;10;3;0.47950393800948266;0.6607056857636354;0.7257451363617039
LDA_S;LODTHEMES;10;4;0.5146380037739159;0.6914005118981936;0.7443413693186484
LDA_S;LODTHEMES;10;5;0.46283337967596305;0.6552324353039509;0.7063651839232633
LDA_S;LODTHEMES;10;6;0.47433530086638137;0.6580284618513449;0.7208431372890044
LDA_S;LODTHEMES;10;7;0.48691718846370546;0.6669412617463873;0.7300750701624182
LDA_S;LODTHEMES;10;8;0.44994071297695387;0.6469046149707068;0.6955286800625593
LDA_S;LODTHEMES;10;9;0.4730077455448843;0.6534597286537775;0.7238514093582313
LDA_S;LODTHEMES;20;0;0.6292120456576665;0.8265792423408891;0.7612241070507957
LDA_S;LODTHEMES;20;1;0.6173139260632012;0.7974214720958659;0.7741375767581385
LDA_S;LODTHEMES;20;2;0.6368180901452574;0.8254505675357106;0.7714793776766135
LDA_S;LODTHEMES;20;3;0.5997777857358894;0.7970145928756436;0.7525304945444975
LDA_S;LODTHEMES;20;4;0.5958826569946364;0.8010106636057092;0.7439135133511214
LDA_S;LODTHEMES;20;5;0.5717377001838482;0.7789030006076658;0.7340293974189387
LDA_S;LODTHEMES;20;6;0.5343772778380511;0.7765039852257308;0.6881835611992473
LDA_S;LODTHEMES;20;7;0.5688441812014611;0.7897227386328549;0.7203087278279813
LDA_S;LODTHEMES;20;8;0.5538724404420774;0.7606287139816282;0.7281771385447005
LDA_S;LODTHEMES;20;9;0.5760386973370547;0.8038003469664301;0.7166440018482754
LDA_S;LODTHEMES;30;0;0.6306335646187688;0.8709504301272617;0.724075151471734
LDA_S;LODTHEMES;30;1;0.6078058299703812;0.8622603771911614;0.7048982488912765
LDA_S;LODTHEMES;30;2;0.6698020906640023;0.8481145329526014;0.7897542898270741
LDA_S;LODTHEMES;30;3;0.5868936165914038;0.8681700671534093;0.6760122685590095
LDA_S;LODTHEMES;30;4;0.6147028427271665;0.8463325029914143;0.7263136421612799
LDA_S;LODTHEMES;30;5;0.6584172571310228;0.871797994420396;0.7552406192087691
LDA_S;LODTHEMES;30;6;0.6618619443708651;0.844053140598416;0.7841472444514795
LDA_S;LODTHEMES;30;7;0.6342838316413777;0.8675933317265396;0.7310842631525668
LDA_S;LODTHEMES;30;8;0.5927575942677619;0.8466588084289703;0.7001138928297003
LDA_S;LODTHEMES;30;9;0.6328039007412263;0.879744585721444;0.7193041150941425
LDA_S;LODTHEMES;40;0;0.6986597300324094;0.8814889936303849;0.792590418123091
LDA_S;LODTHEMES;40;1;0.7231898033383275;0.9416680219674158;0.7679880663541867
LDA_S;LODTHEMES;40;2;0.733347515550519;0.951139334361358;0.7710200693602108
LDA_S;LODTHEMES;40;3;0.7296104442240374;0.929835934327596;0.7846657859611006
LDA_S;LODTHEMES;40;4;0.7149925218086367;0.9102268917327848;0.7855102154227904
LDA_S;LODTHEMES;40;5;0.737612827496058;0.9398058298999687;0.784856620409099
LDA_S;LODTHEMES;40;6;0.6601061041831442;0.8933113401828356;0.7389429356712734
LDA_S;LODTHEMES;40;7;0.6866480279295447;0.9271815100014394;0.7405756268030828
LDA_S;LODTHEMES;40;8;0.637902272173674;0.9084057470514945;0.7022217486450066
LDA_S;LODTHEMES;40;9;0.7200509925127341;0.9419182985337526;0.7644516447271587
LDA_S;LODTHEMES;50;0;0.7530003878715275;0.9635696729266209;0.7814695802789873
LDA_S;LODTHEMES;50;1;0.760982922566084;0.9864886027284644;0.7714056913190188
LDA_S;LODTHEMES;50;2;0.7535140942623186;0.997670865741839;0.7552732270096185
LDA_S;LODTHEMES;50;3;0.748882879887325;0.9695733078057913;0.772383969173096
LDA_S;LODTHEMES;50;4;0.7142940112228577;0.9263351131705849;0.7710967673221735
LDA_S;LODTHEMES;50;5;0.6504007047360243;0.9538417946420055;0.6818748228369798
LDA_S;LODTHEMES;50;6;0.7326240960163923;0.9724218407527647;0.7534015232003204
LDA_S;LODTHEMES;50;7;0.746009983709186;0.9665536412088016;0.7718247098797363
LDA_S;LODTHEMES;50;8;0.7422610061583125;0.9732908490432086;0.7626302116042605
LDA_S;LODTHEMES;50;9;0.7614361268154111;0.9707258090441355;0.7843987660791568
LDA_S;LODTHEMES;60;0;0.73371003913702;0.9564246541844388;0.7671383583923486
LDA_S;LODTHEMES;60;1;0.7615323158709526;0.9919158779609383;0.7677388101059733
LDA_S;LODTHEMES;60;2;0.7409042596837022;0.9552783407629087;0.775589928158528
LDA_S;LODTHEMES;60;3;0.7401741591269918;0.9651833477609348;0.7668741497085222
LDA_S;LODTHEMES;60;4;0.7489159332448418;0.9795412438964207;0.7645578355290104
LDA_S;LODTHEMES;60;5;0.7394979694888877;0.9514177873784664;0.7772589279905078
LDA_S;LODTHEMES;60;6;0.7506180648837459;0.9767733155559531;0.768467005526778
LDA_S;LODTHEMES;60;7;0.73031097848382;0.9488797906567801;0.7696559518654363
LDA_S;LODTHEMES;60;8;0.7511752984206217;0.9795113384557375;0.7668878030599399
LDA_S;LODTHEMES;60;9;0.7191134456630138;0.9650674963991102;0.7451431618474276
